website,name,link,salary_min,salary_max,salary_currency,employer,address
hh.ru,AR-HUD/ AR Algorithm Engineer,https://spb.hh.ru/vacancy/55388034,,,,HUAWEI,"Москва, Смоленская и еще 1 "
hh.ru,Senior Python Developer (MLOps tool + OpenSource / US-startup),https://spb.hh.ru/vacancy/55365278,6000.0,8000.0,USD,Hunt For You,Москва
hh.ru,Менеджер продукта (Тинькофф Бизнес),https://spb.hh.ru/vacancy/55379546,,,,Тинькофф,Москва
hh.ru,Senior Python Developer,https://spb.hh.ru/vacancy/55341672,,,,Сбер для экспертов,Москва
hh.ru,Технический специалист в сфере искусственного интеллекта (ИИ),https://spb.hh.ru/vacancy/54790163,,,,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,"Москва, Юго-Западная"
hh.ru,Senior DS (BigQuery ML),https://spb.hh.ru/vacancy/55319314,,,,Marksman,Москва
hh.ru,SecOps Engineer,https://spb.hh.ru/vacancy/55121734,,,,Itransition,Тбилиси
hh.ru,SecOps Engineer,https://spb.hh.ru/vacancy/55121651,,,,Itransition,Ташкент
hh.ru,Senior Python-разработчик,https://spb.hh.ru/vacancy/54899635,,400000.0,руб,"Hi, Rockits!",Москва
hh.ru,Менеджер по работе с данными (CDO),https://spb.hh.ru/vacancy/52146179,,,,АО Группа компаний Современные транспортные технологии,Нижний Новгород
hh.ru,Data Engineer,https://spb.hh.ru/vacancy/54518530,,,,Toughbyte,Испания
hh.ru,Научный сотрудник,https://spb.hh.ru/vacancy/54584731,70000.0,100000.0,руб,"Государственный научно-исследовательский институт прикладных проблем, ФГУП",Санкт-Петербург
hh.ru,Системный администратор/ Инженер сопровождения,https://spb.hh.ru/vacancy/50637763,,,,Сбер для экспертов,"Москва, Верхние Котлы и еще 1 "
hh.ru,Regional Medical Advisor,https://spb.hh.ru/vacancy/55039511,,,,ООО Ново Нордиск,Ташкент
hh.ru,IT Recruiter,https://spb.hh.ru/vacancy/55046716,,,,QIWI,"Москва, Чертановская"
hh.ru,Бренд-директор,https://spb.hh.ru/vacancy/53235324,,,,SberCloud,Москва
hh.ru,Аналитик/Аналитик данных (Data Analyst|Data Scientist),https://spb.hh.ru/vacancy/54991232,,,,"АО Обновление, ПФК",Новосибирск
hh.ru,C++ developer (to Berlin),https://spb.hh.ru/vacancy/54980285,6250.0,10000.0,EUR,think-cell,Германия
hh.ru,Machine Learning Developer (ML Remote),https://spb.hh.ru/vacancy/54988471,1000.0,,USD,"Юнити,ООО",Москва
hh.ru,Lead Data Engineer,https://spb.hh.ru/vacancy/55314873,,,,Иностр. п. Admitad,Минск
